Area,Extent,Solidity,roundness,ShapeFactor2,ShapeFactor4,target
28395,0.763922518,0.988855999,0.958027126,0.003147289,0.998723889,1
28734,0.783968133,0.984985603,0.887033637,0.003563624,0.998430331,1
29380,0.778113248,0.989558774,0.947849473,0.003047733,0.999066137,1
30008,0.782681273,0.976695743,0.903936374,0.003214562,0.994198849,1
30140,0.773098035,0.99089325,0.984877069,0.003664972,0.999166059,1
30279,0.775688485,0.989509804,0.943851783,0.003152779,0.999235781,1
30477,0.762401501,0.984081369,0.853079869,0.003242016,0.999048736,1
30519,0.770681818,0.989366875,0.967109244,0.003158285,0.99834456,1
30685,0.771561479,0.988435769,0.954239808,0.00315155,0.998952981,1
30834,0.783682806,0.990809769,0.97027823,0.00300804,0.999061142,1
30917,0.770805285,0.988395141,0.94625818,0.00317422,0.999384389,1
31091,0.786377317,0.988333651,0.958172836,0.003333984,0.998639711,1
31107,0.761046142,0.989943672,0.952581757,0.003145388,0.997563959,1
31158,0.798759229,0.989394132,0.948119004,0.003071052,0.997871751,1
31158,0.781313473,0.989959967,0.952623101,0.00326701,0.999348898,1
31178,0.764110482,0.989149746,0.965899596,0.003227429,0.999089658,1
31202,0.779192888,0.988249454,0.944079243,0.003111647,0.998693253,1
31203,0.762984155,0.988750871,0.957948542,0.003136682,0.999202033,1
31272,0.770322199,0.989839521,0.963425036,0.003261246,0.999364415,1
31335,0.774277242,0.991645305,0.976510834,0.003075469,0.999302487,1
31374,0.769196823,0.99272244,0.973459862,0.002951884,0.998229946,1
31530,0.768949371,0.991790129,0.970792739,0.003226921,0.99849094,1
31573,0.756964757,0.980619312,0.873118507,0.003076767,0.997538024,1
31637,0.761823348,0.987267905,0.921842182,0.002609775,0.999090996,1
31675,0.740935673,0.989565435,0.92092896,0.002386889,0.994950284,1
31682,0.773184303,0.989258727,0.951893863,0.003418781,0.998955589,1
31703,0.777110501,0.987847817,0.92490856,0.003158611,0.999237008,1
31748,0.775589974,0.991505309,0.968482156,0.002990698,0.99897767,1
31768,0.777674419,0.987411805,0.94210463,0.002944773,0.998719784,1
31811,0.773877293,0.992480968,0.969600136,0.002830886,0.999515303,1
31821,0.772354369,0.989212882,0.947378132,0.003258989,0.997846613,1
31823,0.774847821,0.986025903,0.91103962,0.002874555,0.999480554,1
31837,0.785245659,0.987561263,0.928537748,0.002798279,0.998842773,1
31915,0.777655945,0.99164181,0.976946683,0.003152845,0.998846794,1
31972,0.772270531,0.991502822,0.980968377,0.003276669,0.999253193,1
31992,0.774212284,0.991753984,0.980466376,0.003315826,0.999221466,1
31994,0.789741311,0.987743509,0.938453277,0.003349716,0.997782541,1
32015,0.761880964,0.988880309,0.941538949,0.003316218,0.998056765,1
32026,0.779448988,0.990015147,0.940247873,0.002598872,0.997778814,1
32038,0.770514671,0.991642937,0.967478615,0.002832168,0.998764533,1
32044,0.778069153,0.989164995,0.945354229,0.003173206,0.998879798,1
32057,0.779804909,0.992446054,0.977128658,0.003184598,0.998585347,1
32066,0.780878628,0.9872233,0.899489569,0.002426053,0.996815403,1
32109,0.767625332,0.985936684,0.9163206,0.002838822,0.998697011,1
32114,0.760670804,0.991387028,0.9593916,0.002909259,0.998971432,1
32167,0.76059302,0.989114726,0.942496457,0.003106541,0.998417873,1
32213,0.762907351,0.988583704,0.934338332,0.002964975,0.999401225,1
